File Name: C:\Users\common\Documents\CLART\Specificity CPH\CLART spec CPH 170615 cl.rbx																																													
Acquisition Date: 15-Jun-2017, 09:09 AM																																													
Reader Serial Number: LX10010029402																																													
RP1 PMT (Volts): 544.08																																													
RP1 Target: 3684																																													
Plate ID: 																																													
																																													
Well	Type	Description	HPV 6 (20)	HPV 11 (11)	HPV 16 (16)	HPV 18 (38)	HPV 18.6650G (34)	HPV 26 (26)	HPV 30 (30)	HPV 31 (22)	HPV 33.2 (33)	HPV 35 (35)	HPV 35.6624A (41)	HPV 39 (39)	HPV 40 (40)	HPV 42 (42)	HPV 43 (43)	HPV 45 (45)	HPV 51 (51)	HPV 52 (52)	HPV 53 (53)	HPV 54 (54)	HPV 56 (56)	HPV 58.1 (47)	HPV 59 (24)	HPV 61 (25)	HPV 66 (66)	HPV 67 (27)	HPV 68 ME.1 (44)	HPV 68 O (28)	HPV 69 (19)	HPV 70 (21)	HPV 73 (58)	HPV 74 (23)	HPV 81 (29)	HPV 82 (32)	HPV 83 (36)	HPV 86 (37)	HPV 87 (48)	HPV 89 (49)	HPV 90 (55)	HPV 91 (57)	U1 (46)	U2 (50)	Sampling Errors
F7	X54	16hvh904851	1	0	1	0	1	0	2	1	1	1	1	2	6	1	0	1	2	1	1	1	1	1	1	1	2	1	7	2	0	1	4	1	1	4	1	1	1	1	2	1	45	137	
G7	X55	16hvh904860	1	1	192	1	1	0	2	0	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	0	2	1	1	1	1	1	4	1	1	2	1	1	1	1	2	1	19	10	
H7	X56	16hvh904860	1	0	186	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	0	1	4	2	1	1	1	1	1	1	2	1	22	16	
A8	X57	16hvh904870	1	0	1	1	1	0	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	2	1	3	1	1	1	4	1	1	1	1	1	1	1	2	1	17	45	
B8	X58	16hvh904870	0	0	1	0	1	0	2	0	0	0	0	2	1	1	1	1	1	1	1	1	1	1	0	1	2	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	17	33	
C8	X59	16hvh904897	1	0	1	1	1	1	2	0	1	1	0	2	1	1	1	1	1	1	0	1	1	1	1	1	2	1	2	1	0	1	4	1	1	1	1	1	1	1	2	1	10	32	
D8	X60	16hvh904897	1	0	0	1	1	0	2	0	1	1	1	2	2	1	1	1	1	0	1	1	1	1	1	0	2	0	2	1	0	1	4	1	1	2	1	1	1	1	2	1	12	20	
E8	X61	16hvh904927	1	0	0	1	1	0	2	13	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	0	2	1	2	1	1	1	4	64	1	2	1	1	1	1	2	1	17	29	
F8	X62	16hvh904927	1	0	0	0	1	0	2	10	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0	2	1	2	1	0	1	5	57	2	1	1	1	1	1	1	1	9	10	
G8	X63	16hvh904931	1	0	145	1	1	0	2	1	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	0	1	4	1	1	2	1	1	1	1	3	1	23	26	
H8	X64	16hvh904931	1	1	90	1	1	0	2	1	1	1	0	2	2	1	1	1	1	0	1	1	1	1	1	0	2	2	2	1	0	1	4	2	2	3	1	1	1	1	2	1	14	19	
A9	X65	16hvh904942	1	1	1	1	1	0	1	0	0	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	1	1	1	4	2	1	2	1	1	1	1	2	1	7	17	
